"Id","UserId","Description","Date","IsRead","NotificationType","Misc","IsDeleted"
"7F437E0E-68D4-4787-A626-7EBCDF273D33","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Project SLC Psych Lease Review has been created by Joshua","2023-01-31 18:17:38.843836","False","4","{""Module"":0,""ModuleId"":""c0f3a67a-fb91-43ee-935a-6e1103bc8195"",""SubModuleId"":null,""Type"":null}","False"
"6E440F1E-9345-4801-9FED-7FE8035C69E9","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515424","False","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"7BEF3941-14DE-4341-9F7D-82D84FAD0FF8","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project SLC Psych Lease Review has been created by Joshua","2023-01-31 18:17:38.843837","False","4","{""Module"":0,""ModuleId"":""c0f3a67a-fb91-43ee-935a-6e1103bc8195"",""SubModuleId"":null,""Type"":null}","False"
"9E11D2FB-F0FE-4172-90EB-830C1816F316","D401284E-B5D9-4C6D-9FA7-08DAF288810D","Project OFS Interiors-General has been created by Amber","2023-01-27 16:45:05.503450","False","4","{""Module"":0,""ModuleId"":""e7d70478-bb65-46b8-bce7-99ad060ba73e"",""SubModuleId"":null,""Type"":null}","False"
"4BE58757-12C2-44BC-B68A-89254C711CA8","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project SLC Psych Lease Review has been created by Joshua","2023-01-31 18:17:38.843836","False","4","{""Module"":0,""ModuleId"":""c0f3a67a-fb91-43ee-935a-6e1103bc8195"",""SubModuleId"":null,""Type"":null}","False"
"1642240F-F243-417E-AF5B-89EB8A343345","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project OFS Rebate Program has been created by Joshua","2023-02-03 21:35:51.556555","False","4","{""Module"":0,""ModuleId"":""e7f1918a-559c-4d8a-b622-601125f68cca"",""SubModuleId"":null,""Type"":null}","False"
"7F0531A7-AB74-488D-B5EE-8BD5FDB84886","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143175","False","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"D73E80CC-74E9-4E70-8062-8D581DE48A2D","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project OFS Interiors-General has been created by Amber","2023-01-27 16:45:05.503453","False","4","{""Module"":0,""ModuleId"":""e7d70478-bb65-46b8-bce7-99ad060ba73e"",""SubModuleId"":null,""Type"":null}","False"
"5C317A7E-501E-4FD4-A162-8FC398BC262B","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project NCF Corporate cleanup of Entities has been created by Joshua","2023-01-31 18:21:04.567655","False","4","{""Module"":0,""ModuleId"":""cb870cad-4d9b-4686-99a1-6f3bc6e862eb"",""SubModuleId"":null,""Type"":null}","False"
"A3E4A55A-3619-4425-84C8-90A53A5882D2","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075181","False","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"7DEC2A28-9FC8-437C-846E-9ABE37DF8639","F4A5AF47-4C44-415C-8189-08DAFF1D643C","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515424","False","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"DA052C79-F34C-4C33-83A7-9F1CB7AE6632","F4A5AF47-4C44-415C-8189-08DAFF1D643C","Project GRACE NPC-General has been created by Anthony","2023-01-30 23:13:40.403038","False","4","{""Module"":0,""ModuleId"":""337c79b2-69f8-48a1-a200-b1206f0825f1"",""SubModuleId"":null,""Type"":null}","False"
