"EngagementId","UserId","EngagementDisabled","Id","BillRateId","CreateDate","UpdateDate","EffectiveDate"
"F823F86C-4BDE-44C3-180F-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","10EA8C9D-8C7D-4075-9360-3BA05BF406E4","9D61EEF4-EC13-4D13-CACF-08DB15BD9DB5","2023-02-23 19:51:59.886851","2023-02-23 19:51:59.886852",""
"6E245FFC-C7DD-4415-0151-08DB3D4AB7BE","AB995316-AC5B-4F93-3F22-08DB008453BF","False","2C9C5B08-8C48-4E59-9B7F-3D7019DFA5A5","FF641A55-7735-437B-BB04-08DB3D366DDF","2023-04-15 00:46:35.847833","2023-04-15 00:46:35.847833",""
"AC879697-FBB8-446C-C5F7-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","1287B6E5-F722-4D6C-9066-402697365CF0","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"EDABC313-0F1E-4CBF-C94F-08DB0317A5BD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","5598B755-66CC-46D8-B20C-4170EF8EF897","328C75BF-E28C-46ED-4797-08DB0317C6FF","2023-01-30 23:14:46.186258","2023-01-30 23:14:46.186259",""
"3AC40D83-D3CD-49C7-A4F7-08DB1B5E8D8D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A7A5B814-E978-40A6-AF84-42F5A896F946","7848428E-F742-41FC-9180-08DB1B4EDEE2","2023-03-02 21:07:38.564282","2023-03-02 21:07:38.564283",""
"DBAAF035-8CFB-4E9D-4BD8-08DB02ECBFBD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","54014FEC-9589-4BC8-A78C-437098440E64","912680A2-CFF6-45F0-182D-08DB02E68F3D","2023-01-30 22:54:09.819944","2023-01-30 22:54:09.819945",""
"AB2529F2-7E04-4116-C950-08DB0317A5BD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A7CE7323-6FE0-431C-9D7F-43D93F9D7D97","D2C5CE53-CACC-4536-479B-08DB0317C6FF","2023-01-30 23:48:22.414258","2023-01-30 23:48:22.414259",""
"AC879697-FBB8-446C-C5F7-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","C9287BD4-2906-4FD3-87E6-46BC7B3A2E4D","4667D59A-EA86-4F70-0018-08DB0085AF8C","2023-01-27 16:47:20.114168","2023-01-27 16:47:20.114169",""
"AC879697-FBB8-446C-C5F7-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","48EA0B2E-3413-4709-9E37-46D395332239","E980CE10-1B80-490F-0019-08DB0085AF8C","2023-01-27 16:47:33.533354","2023-01-27 16:47:33.533355",""
"3AC40D83-D3CD-49C7-A4F7-08DB1B5E8D8D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","4806D96B-38F7-409D-8F33-4CEF7D006508","1961F407-E3A3-44B1-9184-08DB1B4EDEE2","2023-03-02 21:07:38.615579","2023-03-02 21:07:38.615581",""
"FC946E98-8071-4094-AD06-08DB36C371D9","AB995316-AC5B-4F93-3F22-08DB008453BF","False","3E4E0FA2-DC8C-451C-B66F-4DEC7A72EB48","42525E18-AC2B-4460-3815-08DB36C37F78","2023-04-06 18:11:55.555930","2023-04-06 18:11:55.555932",""
"2ED507B2-D52B-4288-394D-08DB45B7DE40","AB995316-AC5B-4F93-3F22-08DB008453BF","False","D06D9951-C4C5-4A31-B302-4F7DC03E5D71","85F745CE-B865-4EE7-C76F-08DB45B33A04","2023-04-25 18:20:24.165817","2023-04-25 18:20:24.165818",""
"C866C599-984B-488A-9541-08DB0AD09684","AB995316-AC5B-4F93-3F22-08DB008453BF","False","5A5C1592-B7AB-4938-9BB8-50AD96533254","3825C217-C511-4EC9-53DF-08DB0AD0A5A8","2023-02-09 22:32:50.258898","2023-02-09 22:32:50.258899",""
